occ_code,occ_title,group_code,group_name,employment,adoption_discount,amplification_multiplier,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18
1111,Chief executives and senior officials,11,Corporate Managers & Directors,167737,0.5,1.8,1,3,8,5,5,1,12,5,0,2,0,28,12,2,14,0,2,0
1112,Elected officers and representatives,11,Corporate Managers & Directors,167737,0.5,1.8,1,3,8,5,2,1,15,10,0,1,0,20,15,5,10,0,2,2
1113,Senior police officers,11,Corporate Managers & Directors,167737,0.5,1.8,2,3,5,5,3,3,10,5,0,3,0,20,8,5,15,0,8,5
1114,Officers in armed forces,11,Corporate Managers & Directors,167737,0.5,1.8,2,3,5,8,3,2,8,5,0,5,0,18,5,8,15,0,8,5
1115,"Senior officers in fire, ambulance, prison and related services",11,Corporate Managers & Directors,167737,0.5,1.8,2,3,5,5,3,3,10,5,0,3,0,20,5,5,15,0,8,8
1131,Financial managers and directors,11,Corporate Managers & Directors,167737,0.5,1.8,3,3,5,5,15,3,10,5,0,5,0,18,8,2,12,0,3,3
1132,"Marketing, sales and advertising directors",11,Corporate Managers & Directors,167737,0.5,1.8,2,5,8,5,5,2,12,8,1,2,5,15,15,3,10,0,2,0
1133,Purchasing managers and directors,11,Corporate Managers & Directors,167737,0.5,1.8,3,3,5,5,10,5,5,8,0,5,0,15,15,2,12,0,5,2
1134,Human resource managers and directors,11,Corporate Managers & Directors,167737,0.5,1.8,3,5,5,8,5,5,8,8,0,2,0,12,10,8,15,0,3,3
1135,Charitable organisation managers and directors,11,Corporate Managers & Directors,167737,0.5,1.8,3,5,8,5,5,2,12,8,0,2,1,15,10,3,12,0,5,4
1136,Research and development managers,11,Corporate Managers & Directors,167737,0.5,1.8,2,3,15,5,5,3,12,3,0,15,2,15,3,5,10,0,2,0
1137,Information technology directors,11,Corporate Managers & Directors,167737,0.5,1.8,2,3,8,5,5,2,10,5,0,15,1,18,8,3,12,0,3,0
1139,Functional managers and directors n.e.c.,11,Corporate Managers & Directors,167737,0.5,1.8,3,5,5,5,8,3,8,5,0,5,1,15,10,3,15,0,5,4
1140,"Directors in logistics, warehousing and transport",11,Corporate Managers & Directors,167737,0.5,1.8,2,3,5,8,8,3,8,5,0,5,0,18,10,3,15,0,5,2
1150,Production managers and directors in manufacturing,11,Corporate Managers & Directors,167737,0.5,1.8,2,3,3,5,8,5,5,3,0,10,0,15,5,5,15,0,10,6
