occ_code,occ_title,group_code,group_name,employment,adoption_discount,amplification_multiplier,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18
11-1011,Chief Executives,11,Management,0,0.55,1.8,9,1,7,6,2,8,1,16,1,9,4,8,5,6,14,1,1,1
11-1021,General and Operations Managers,11,Management,0,0.55,1.8,11,1,7,6,2,10,2,11,1,8,3,7,5,5,17,1,2,1
11-2011,Advertising and Promotions Managers,11,Management,0,0.55,1.8,14,2,10,8,2,8,1,18,1,5,5,7,5,3,8,1,1,1
11-2021,Marketing Managers,11,Management,0,0.55,1.8,9,2,8,7,3,9,1,17,1,6,4,8,7,4,13,1,0,0
11-2022,Sales Managers,11,Management,0,0.55,1.8,9,1,6,5,2,7,1,15,1,8,3,8,8,8,17,1,0,0
11-2033,Fundraising Managers,11,Management,0,0.55,1.8,14,2,10,7,1,7,2,18,1,8,3,7,5,4,8,1,1,1
11-3012,Administrative Services Managers,11,Management,0,0.55,1.8,11,1,8,8,2,8,2,12,1,7,3,5,3,5,13,2,6,3
11-3013,Facilities Managers,11,Management,0,0.55,1.8,9,1,7,6,2,9,1,11,1,8,4,7,5,5,12,2,7,3
11-3021,Computer and Information Systems Managers,11,Management,0,0.55,1.8,12,1,8,7,3,10,1,10,1,9,3,8,4,5,14,1,2,1
11-3031,Financial Managers,11,Management,0,0.55,1.8,12,1,9,6,2,8,1,16,1,11,3,8,4,5,11,1,1,0
11-3051,Industrial Production Managers,11,Management,0,0.55,1.8,10,1,7,6,2,10,2,10,1,8,3,6,3,5,15,1,8,2
11-3061,Purchasing Managers,11,Management,0,0.55,1.8,11,1,8,6,2,6,2,15,1,9,3,8,4,7,14,1,2,0
11-3071,"Transportation, Storage, and Distribution Managers",11,Management,0,0.55,1.8,9,1,7,6,2,8,1,12,1,9,3,7,5,6,18,1,3,1
11-3111,Compensation and Benefits Managers,11,Management,0,0.55,1.8,13,2,9,6,1,5,2,16,1,11,3,8,5,5,12,1,0,0
11-3121,Human Resources Managers,11,Management,0,0.55,1.8,10,1,6,6,1,7,1,13,1,11,2,7,7,7,16,2,1,1
