group_code,group_name,adoption_discount,amplification_multiplier
11,Management,0.55,1.8
13,Business and Financial Operations,0.50,1.8
15,Computer and Mathematical,0.48,2.0
17,Architecture and Engineering,0.50,2.0
19,"Life, Physical, and Social Science",0.50,2.5
21,Community and Social Service,0.55,1.5
23,Legal,0.50,1.8
25,Educational Instruction and Library,0.55,1.5
27,"Arts, Design, Entertainment, Sports, and Media",0.50,2.0
29,Healthcare Practitioners and Technical,0.55,1.5
31,Healthcare Support,0.58,1.1
33,Protective Service,0.58,1.3
35,Food Preparation and Serving Related,0.60,1.0
37,Building and Grounds Cleaning and Maintenance,0.60,1.0
39,Personal Care and Service,0.58,1.1
41,Sales and Related,0.50,1.3
43,Office and Administrative Support,0.48,1.2
45,"Farming, Fishing, and Forestry",0.60,1.0
47,Construction and Extraction,0.58,1.1
49,"Installation, Maintenance, and Repair",0.58,1.1
51,Production,0.58,1.0
53,Transportation and Material Moving,0.60,1.0
